Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
  Abril,   610,   54,   48,   63,   140,   252,   53
  Maio,   605,   51,   57,   60,   142,   248,   46
  Junho,   596,   51,   57,   66,   131,   241,   51
  Julho,   579,   53,   55,   61,   126,   229,   55
  Agosto,   610,   47,   63,   64,   119,   266,   51
  Setembro,   634,   46,   70,   68,   132,   271,   48
  Outubro,   577,   55,   54,   59,   117,   241,   51
  Novembro,   572,   59,   54,   62,   127,   221,   50
  Dezembro,   574,   61,   51,   56,   129,   228,   49
2015,,,,,,,
  Janeiro,   546,   55,   57,   55,   117,   218,   44
  Fevereiro,   549,   44,   48,   56,   118,   236,   48
  Março,   571,   51,   56,   62,   111,   243,   48
  Abril,   580,   54,   61,   55,   117,   238,   55
  Maio,   582,   52,   62,   64,   121,   235,   49
  Junho,   572,   48,   60,   60,   133,   225,   47
  Julho,   581,   47,   51,   64,   134,   235,   50
  Agosto,   593,   48,   45,   62,   134,   260,   44
  Setembro,   580,   48,   56,   51,   132,   251,   43
  Outubro,   540,   44,   47,   56,   120,   231,   42
  Novembro,   552,   53,   52,   58,   123,   226,   40
  Dezembro,   522,   52,   41,   55,   124,   210,   41
2016,,,,,,,
  Janeiro,   512,   46,   51,   52,   116,   207,   40
  Fevereiro,   517,   42,   50,   46,   115,   226,   39
,,,,,,,
Coeficientes de variação (%),,,,,,,
2002,,,,,,,
   Março,"3,1","6,1","8,0","6,1","6,4","5,7","7,0"
   Abril,"3,1","6,7","7,3","5,8","6,7","5,9","6,5"
   Maio,"2,9","6,5","6,8","5,6","6,2","5,3","6,7"
   Junho,"3,0","6,1","8,1","6,0","6,1","5,6","6,0"
   Julho,"2,9","6,0","6,8","5,7","6,4","5,6","5,7"
   Agosto,"2,9","6,1","6,5","5,3","6,2","5,4","6,0"
   Setembro,"2,9","6,2","6,9","5,5","6,3","5,2","5,7"
   Outubro,"3,0","6,2","7,5","5,6","6,1","5,6","6,1"
   Novembro,"2,7","5,7","7,0","5,5","5,5","5,1","5,5"
   Dezembro,"2,8","6,2","7,6","5,4","6,0","5,3","5,6"
2003,,,,,,,
  Janeiro,"2,8","6,3","7,2","5,7","5,6","5,5","6,1"
  Fevereiro,"2,9","6,5","6,9","5,5","6,4","5,2","5,6"
  Março,"2,8","6,2","7,1","5,6","5,9","5,2","6,4"
  Abril,"2,9","6,4","6,8","5,3","5,8","5,5","6,5"
  Maio,"2,8","7,2","6,8","5,6","6,0","5,3","6,4"
  Junho,"2,9","7,1","6,9","5,6","6,6","5,3","6,5"
  Julho,"2,9","6,5","8,1","6,0","6,7","5,1","6,7"
  Agosto,"2,9","6,1","7,9","5,8","6,7","5,2","6,7"
  Setembro,"2,8","6,2","8,5","5,2","6,6","5,1","6,0"
  Outubro,"2,9","6,0","8,4","5,3","6,3","5,5","6,1"
  Novembro,"2,8","6,2","7,3","5,5","5,7","5,4","5,8"
  Dezembro,"2,9","6,5","7,5","5,4","5,7","5,2","6,3"
2004,,,,,,,
  Janeiro,"2,9","6,4","7,6","5,4","6,2","5,4","6,1"
  Fevereiro,"2,9","6,8","7,7","5,6","6,0","5,4","6,0"
  Março,"2,9","6,1","7,2","5,8","5,6","5,5","6,1"
  Abril,"2,8","6,2","7,2","5,8","5,8","5,3","5,8"
  Maio,"2,8","6,1","7,3","5,8","5,5","5,3","6,1"
  Junho,"2,9","5,8","7,1","5,8","5,5","5,6","6,3"
  Julho,"3,0","6,6","7,5","5,5","6,1","5,5","6,6"
  Agosto,"2,9","6,8","7,3","5,1","6,2","5,6","5,7"
  Setembro,"2,9","6,8","7,7","5,5","6,2","5,2","6,3"
  Outubro,"3,0","6,8","7,5","5,5","6,2","5,6","5,9"
  Novembro,"2,9","6,7","7,5","5,6","5,7","5,7","6,8"
  Dezembro,"2,9","6,4","7,4","5,5","6,0","5,4","7,0"
2005,,,,,,,
  Janeiro,"2,9","6,1","7,1","5,5","6,0","5,5","7,6"
  Fevereiro,"3,0","6,7","7,2","5,8","6,5","5,4","6,8"
  Março,"2,9","6,4","7,1","6,4","6,2","5,2","6,8"
  Abril,"3,0","6,2","6,8","6,1","5,9","5,7","6,2"
  Maio,"2,8","7,6","7,2","6,1","5,7","5,2","6,3"
  Junho,"2,9","7,3","6,6","5,1","5,8","5,4","6,0"
  Julho,"2,8","6,9","6,5","5,6","5,6","5,4","6,1"
  Agosto,"2,9","6,9","6,2","5,7","6,0","5,5","6,4"
  Setembro,"2,9","6,9","6,4","5,4","5,9","5,5","6,5"
  Outubro,"2,9","6,7","6,8","5,3","5,9","5,3","6,5"
  Novembro,"3,0","7,0","6,5","5,8","5,9","5,6","6,3"
  Dezembro,"2,9","6,9","6,5","6,6","5,9","5,4","6,6"
2006,,,,,,,
 Janeiro,"3,0","6,4","6,3","6,4","6,3","5,4","7,1"
  Fevereiro,"2,9","6,9","6,4","5,8","6,2","5,3","7,1"
  Março,"3,0","7,3","6,9","5,6","6,3","5,4","7,1"
  Abril,"3,0","7,2","6,8","5,7","6,3","5,4","6,9"
  Maio,"3,0","6,8","7,0","5,6","6,0","5,6","6,1"
  Junho,"3,0","6,0","7,0","5,4","6,4","5,7","6,8"
  Julho,"2,9","6,4","7,1","5,7","6,0","5,3","6,6"
  Agosto,"2,9","6,2","7,3","5,4","6,0","5,4","6,6"
  Setembro,"2,9","5,9","7,8","5,4","5,9","5,5","7,0"
  Outubro,"3,0","6,6","7,9","5,5","6,1","5,6","6,2"
  Novembro,"3,1","6,9","7,9","5,9","6,0","5,7","6,3"
  Dezembro,"3,1","6,9","7,6","5,8","6,1","5,9","6,2"
2007,,,,,,,
  Janeiro,"3,1","7,3","7,0","5,9","6,0","6,0","6,4"
  Fevereiro,"2,9","6,8","7,0","5,8","6,0","5,6","5,7"
  Março,"3,0","7,6","7,4","5,9","6,1","5,7","7,5"
  Abril,"3,2","7,1","7,3","6,2","6,2","6,1","6,7"
  Maio,"3,3","7,2","6,8","6,1","6,6","6,0","6,9"
  Junho,"3,4","8,0","7,5","6,4","6,9","6,1","6,7"
  Julho,"3,3","6,5","7,4","6,2","6,6","6,0","6,5"
  Agosto,"3,1","7,2","7,0","5,7","6,7","5,7","6,0"
  Setembro,"3,2","6,8","7,8","6,2","6,8","5,7","6,3"
