Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
  Março,  14 530,   930,  1 104,  1 452,  3 502,  6 452,  1 090
  Abril,  14 429,   944,  1 074,  1 450,  3 476,  6 370,  1 114
  Maio,  14 590,   955,  1 058,  1 469,  3 486,  6 519,  1 102
  Junho,  14 496,   958,  1 045,  1 457,  3 449,  6 467,  1 120
  Julho,  14 542,   948,  1 080,  1 475,  3 473,  6 491,  1 076
  Agosto,  14 656,   959,  1 113,  1 489,  3 513,  6 490,  1 092
  Setembro,  14 750,   971,  1 121,  1 516,  3 562,  6 469,  1 111
  Outurbro,  14 937,   964,  1 129,  1 505,  3 622,  6 616,  1 100
  Novembro,  14 972,   976,  1 114,  1 482,  3 638,  6 638,  1 125
  Dezembro,  15 086,   970,  1 118,  1 502,  3 645,  6 728,  1 125
2013,,,,,,,
  Janeiro,  15 145,   980,  1 087,  1 504,  3 657,  6 761,  1 156
  Fevereiro,  14 930,   945,  1 109,  1 479,  3 596,  6 665,  1 137
  Março,  14 990,  1 018,  1 111,  1 485,  3 622,  6 599,  1 155
  Abril,  14 974,  1 035,  1 132,  1 497,  3 606,  6 552,  1 153
  Maio,  14 946,   975,  1 150,  1 494,  3 627,  6 574,  1 127
  Junho,  15 048,   963,  1 160,  1 486,  3 714,  6 603,  1 122
  Julho,  15 116,  1 004,  1 137,  1 489,  3 723,  6 618,  1 146
  Agosto,  15 196,   986,  1 134,  1 482,  3 699,  6 724,  1 171
  Setembro,  15 208,   999,  1 114,  1 459,  3 735,  6 745,  1 157
  Outubro,  15 305,  1 009,  1 098,  1 483,  3 719,  6 809,  1 186
  Novembro,  15 334,  1 012,  1 078,  1 513,  3 721,  6 833,  1 177
  Dezembro,  15 448,  1 044,  1 121,  1 498,  3 777,  6 852,  1 157
2014,,,,,,,
  Janeiro,  15 374,   999,  1 117,  1 498,  3 758,  6 806,  1 197
  Fevereiro,  15 293,  1 007,  1 121,  1 473,  3 735,  6 783,  1 174
  Março,  15 274,  1 000,  1 111,  1 471,  3 804,  6 726,  1 162
  Abril,  15 304,  1 011,  1 133,  1 492,  3 779,  6 685,  1 204
  Maio,  15 401,  1 027,  1 180,  1 489,  3 813,  6 716,  1 176
  Junho,  15 459,  1 018,  1 178,  1 474,  3 839,  6 769,  1 181
  Julho,  15 443,  1 019,  1 175,  1 461,  3 841,  6 771,  1 176
  Agosto,  15 555,  1 050,  1 169,  1 461,  3 863,  6 828,  1 183
  Setembro,  15 596,  1 014,  1 136,  1 453,  3 880,  6 903,  1 210
  Outubro,  15 793,  1 037,  1 187,  1 501,  3 884,  6 988,  1 195
  Novembro,  15 899,  1 009,  1 178,  1 524,  3 896,  7 086,  1 207
  Dezembro,  15 747,  1 025,  1 182,  1 522,  3 865,  6 932,  1 222
2015,,,,,,,
  Janeiro,  15 620,   994,  1 190,  1 518,  3 855,  6 858,  1 204
  Fevereiro,  15 420,  1 001,  1 164,  1 482,  3 816,  6 756,  1 200
  Março,  15 472,  1 023,  1 109,  1 499,  3 822,  6 821,  1 198
  Abril,  15 493,   997,  1 126,  1 482,  3 811,  6 869,  1 208
  Maio,  15 470,  1 005,  1 106,  1 466,  3 796,  6 903,  1 195
  Junho,  15 575,  1 014,  1 122,  1 495,  3 837,  6 903,  1 203
  Julho,  15 602,  1 035,  1 140,  1 490,  3 828,  6 895,  1 214
  Agosto,  15 498,  1 042,  1 108,  1 496,  3 881,  6 786,  1 185
  Setembro,  15 574,  1 049,  1 121,  1 483,  3 883,  6 836,  1 201
  Outubro,  15 450,  1 015,  1 104,  1 466,  3 876,  6 800,  1 190
  Novembro,  15 488,  1 008,  1 116,  1 474,  3 856,  6 855,  1 179
  Dezembro,  15 633,  1 056,  1 146,  1 467,  3 844,  6 918,  1 200
2016,,,,,,,
  Janeiro,  15 619,  1 028,  1 137,  1 460,  3 849,  6 924,  1 222
  Fevereiro,  15 290,  1 022,  1 121,  1 437,  3 807,  6 739,  1 163
,,,,,,,
Coeficientes de variação (%),,,,,,,
2002,,,,,,,
   Março,"1,8","4,7","5,0","3,8","3,3","3,3","4,4"
   Abril,"1,7","4,9","4,9","3,8","3,1","3,3","4,0"
   Maio,"1,8","4,8","4,8","3,8","3,1","3,3","4,0"
   Junho,"1,7","4,8","4,8","3,7","3,1","3,3","4,0"
   Julho,"1,8","4,7","4,6","3,6","3,1","3,3","3,9"
   Agosto,"1,7","4,6","4,6","3,7","3,1","3,3","4,1"
   Setembro,"1,7","4,6","4,8","3,5","3,2","3,2","4,0"
   Outubro,"1,7","4,7","4,7","3,6","3,1","3,1","3,9"
   Novembro,"1,7","4,5","4,7","3,7","3,1","3,1","3,9"
   Dezembro,"1,7","4,4","4,5","3,6","3,2","3,0","3,8"
2003,,,,,,,
  Janeiro,"1,7","4,5","4,4","3,6","3,2","3,0","3,7"
  Fevereiro,"1,6","4,6","4,5","3,5","3,0","3,0","3,8"
  Março,"1,7","4,7","4,6","3,6","3,2","3,0","3,9"
  Abril,"1,7","4,4","4,8","3,6","3,1","3,0","3,8"
  Maio,"1,7","4,4","4,8","3,6","3,1","3,0","3,9"
  Junho,"1,7","4,4","4,7","3,5","3,0","3,1","3,7"
  Julho,"1,7","4,6","4,7","3,6","3,0","3,2","3,9"
  Agosto,"1,6","4,5","4,5","3,5","3,0","3,1","3,7"
  Setembro,"1,7","4,5","4,6","3,4","3,0","3,1","3,9"
  Outubro,"1,6","4,4","4,3","3,6","3,0","3,0","3,7"
  Novembro,"1,6","4,4","4,6","3,4","3,0","2,9","3,7"
  Dezembro,"1,6","4,4","4,4","3,4","3,0","2,8","3,6"
2004,,,,,,,
  Janeiro,"1,6","4,3","4,4","3,4","3,0","2,8","3,8"
  Fevereiro,"1,6","4,5","4,5","3,4","2,9","2,9","3,8"
  Março,"1,6","4,4","4,4","3,4","3,0","3,0","3,6"
  Abril,"1,6","4,1","4,4","3,4","3,0","3,1","3,5"
  Maio,"1,6","4,2","4,3","3,5","3,0","3,0","3,5"
  Junho,"1,7","4,2","4,2","3,5","3,1","3,1","3,5"
  Julho,"1,6","4,1","4,3","3,4","3,0","3,0","3,6"
  Agosto,"1,6","4,2","4,3","3,4","2,9","2,9","3,5"
  Setembro,"1,6","4,3","4,2","3,4","2,9","2,8","3,6"
  Outubro,"1,6","4,3","4,1","3,3","2,9","2,9","3,5"
  Novembro,"1,5","4,3","4,2","3,3","2,9","2,8","3,4"
  Dezembro,"1,5","4,1","4,2","3,2","2,8","2,7","3,5"
2005,,,,,,,
  Janeiro,"1,5","4,3","4,3","3,3","2,9","2,8","3,4"
  Fevereiro,"1,5","4,3","4,2","3,2","2,8","2,7","3,4"
  Março,"1,5","4,1","4,2","3,3","2,9","2,7","3,3"
  Abril,"1,5","4,2","4,1","3,2","3,0","2,8","3,4"
  Maio,"1,5","4,0","4,1","3,2","2,9","2,7","3,4"
  Junho,"1,5","3,9","4,2","3,2","2,8","2,7","3,4"
  Julho,"1,5","4,1","4,2","3,2","2,8","2,7","3,6"
  Agosto,"1,5","4,0","4,1","3,1","2,8","2,7","3,5"
  Setembro,"1,5","4,0","4,0","3,1","2,8","2,6","3,3"
  Outubro,"1,5","3,9","3,9","3,2","2,9","2,6","3,4"
  Novembro,"1,5","4,0","3,9","3,1","2,9","2,7","3,4"
  Dezembro,"1,5","3,9","4,0","3,0","2,8","2,7","3,4"
2006,,,,,,,
 Janeiro,"1,5","3,8","4,0","3,0","2,7","2,7","3,4"
  Fevereiro,"1,4","3,7","4,1","3,0","2,7","2,6","3,3"
  Março,"1,4","3,7","3,8","2,9","2,8","2,6","3,3"
  Abril,"1,4","3,8","3,9","2,8","2,8","2,6","3,3"
  Maio,"1,5","3,9","3,8","2,8","2,9","2,6","3,1"
  Junho,"1,4","3,8","3,8","2,9","2,8","2,6","3,2"
  Julho,"1,4","3,9","3,8","2,9","2,8","2,5","3,3"
  Agosto,"1,4","4,0","3,7","2,9","2,8","2,5","3,3"
  Setembro,"1,4","3,8","3,8","3,0","2,7","2,4","3,2"
  Outubro,"1,4","3,9","3,8","3,0","2,8","2,4","3,1"
  Novembro,"1,4","3,7","3,7","3,0","2,8","2,5","3,1"
  Dezembro,"1,4","3,6","3,7","3,0","2,8","2,5","3,1"
2007,,,,,,,
  Janeiro,"1,4","3,8","3,6","2,9","2,7","2,5","3,2"
  Fevereiro,"1,4","3,7","3,5","2,9","2,8","2,5","3,2"
