Unidade da Federação / Categoria Administrativa,Seleção para Vagas Novas - Vagas Oferecidas Total Geral,Seleção para Vagas Novas - Candidatos Inscritos Total Geral,Seleção para Vagas Novas - Ingressos Total Geral,Seleção para Vagas Novas - Vagas Oferecidas Universidades,Seleção para Vagas Novas - Candidatos Inscritos Universidades,Seleção para Vagas Novas - Ingressos Universidades,Seleção para Vagas Novas - Vagas Oferecidas Centros Universitários,Seleção para Vagas Novas - Candidatos Inscritos Centros Universitários,Seleção para Vagas Novas - Ingressos Centros Universitários,Seleção para Vagas Novas - Vagas Oferecidas Faculdades,Seleção para Vagas Novas - Candidatos Inscritos Faculdades,Seleção para Vagas Novas - Ingressos Faculdades,Seleção para Vagas Novas - Vagas Oferecidas IF e CEFET,Seleção para Vagas Novas - Candidatos Inscritos IF e CEFET,Seleção para Vagas Novas - Ingressos IF e CEFET,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Total Geral,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Total Geral,Seleção para Vagas de Programas Especiais - Ingressos Total Geral,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Universidades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Universidades,Seleção para Vagas de Programas Especiais - Ingressos Universidades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Centros Universitários,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Centros Universitários,Seleção para Vagas de Programas Especiais - Ingressos Centros Universitários,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Faculdades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Faculdades,Seleção para Vagas de Programas Especiais - Ingressos Faculdades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas IF e CEFET,Seleção para Vagas de Programas Especiais - Candidatos Inscritos IF e CEFET,Seleção para Vagas de Programas Especiais - Ingressos IF e CEFET,Seleção para Vagas Remanescentes - Vagas Oferecidas Total Geral,Seleção para Vagas Remanescentes - Candidatos Inscritos Total Geral,Seleção para Vagas Remanescentes - Ingressos Total Geral,Seleção para Vagas Remanescentes - Vagas Oferecidas Universidades,Seleção para Vagas Remanescentes - Candidatos Inscritos Universidades,Seleção para Vagas Remanescentes - Ingressos Universidades,Seleção para Vagas Remanescentes - Vagas Oferecidas Centros Universitários,Seleção para Vagas Remanescentes - Candidatos Inscritos Centros Universitários,Seleção para Vagas Remanescentes - Ingressos Centros Universitários,Seleção para Vagas Remanescentes - Vagas Oferecidas Faculdades,Seleção para Vagas Remanescentes - Candidatos Inscritos Faculdades,Seleção para Vagas Remanescentes - Ingressos Faculdades,Seleção para Vagas Remanescentes - Vagas Oferecidas IF e CEFET,Seleção para Vagas Remanescentes - Candidatos Inscritos IF e CEFET,Seleção para Vagas Remanescentes - Ingressos IF e CEFET
Nordeste,  873.638 ,  2.978.396 ,  381.703 ,  186.936 ,  1.804.325 ,  139.599 ,  258.134 ,  332.427 ,  85.399 ,  406.170 ,  521.748 ,  135.852 ,  22.398 ,  319.896 ,  20.853 ,  3.333 ,  3.864 ,  480 ,  581 ,  1.213 ,  242 ,  101 ,  - ,  - ,  2.523 ,  2.306 ,  132 ,  128 ,  345 ,  106 ,  391.090 ,  166.845 ,  49.713 ,  48.308 ,  48.129 ,  15.995 ,  164.668 ,  46.402 ,  18.881 ,  172.656 ,  68.139 ,  13.456 ,  5.458 ,  4.175 ,  1.381 
Pública,  159.611 ,  2.037.212 ,  134.697 ,  126.605 ,  1.709.151 ,  110.090 ,  - ,  - ,  - ,  10.608 ,  8.165 ,  3.754 ,  22.398 ,  319.896 ,  20.853 ,  1.139 ,  1.798 ,  448 ,  581 ,  1.213 ,  242 ,  - ,  - ,  - ,  430 ,  240 ,  100 ,  128 ,  345 ,  106 ,  39.545 ,  38.910 ,  9.463 ,  31.943 ,  33.559 ,  7.641 ,  - ,  - ,  - ,  2.144 ,  1.176 ,  441 ,  5.458 ,  4.175 ,  1.381 
Federal,  105.255 ,  1.560.037 ,  94.331 ,  82.857 ,  1.240.141 ,  73.478 ,  - ,  - ,  - ,  - ,  - ,  - ,  22.398 ,  319.896 ,  20.853 ,  609 ,  1.535 ,  347 ,  481 ,  1.190 ,  241 ,  - ,  - ,  - ,  - ,  - ,  - ,  128 ,  345 ,  106 ,  31.080 ,  34.257 ,  7.853 ,  25.622 ,  30.082 ,  6.472 ,  - ,  - ,  - ,  - ,  - ,  - ,  5.458 ,  4.175 ,  1.381 
Estadual,  43.979 ,  469.241 ,  36.612 ,  43.748 ,  469.010 ,  36.612 ,  - ,  - ,  - ,  231 ,  231 ,  - ,  - ,  - ,  - ,  100 ,  23 ,  1 ,  100 ,  23 ,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  6.321 ,  3.477 ,  1.169 ,  6.321 ,  3.477 ,  1.169 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  10.377 ,  7.934 ,  3.754 ,  - ,  - ,  - ,  - ,  - ,  - ,  10.377 ,  7.934 ,  3.754 ,  - ,  - ,  - ,  430 ,  240 ,  100 ,  - ,  - ,  - ,  - ,  - ,  - ,  430 ,  240 ,  100 ,  - ,  - ,  - ,  2.144 ,  1.176 ,  441 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.144 ,  1.176 ,  441 ,  - ,  - ,  - 
Privada,  714.027 ,  941.184 ,  247.006 ,  60.331 ,  95.174 ,  29.509 ,  258.134 ,  332.427 ,  85.399 ,  395.562 ,  513.583 ,  132.098 ,  - ,  - ,  - ,  2.194 ,  2.066 ,  32 ,  - ,  - ,  - ,  101 ,  - ,  - ,  2.093 ,  2.066 ,  32 ,  - ,  - ,  - ,  351.545 ,  127.935 ,  40.250 ,  16.365 ,  14.570 ,  8.354 ,  164.668 ,  46.402 ,  18.881 ,  170.512 ,  66.963 ,  13.015 ,  - ,  - ,  - 
Maranhão,  70.175 ,  380.837 ,  40.275 ,  14.297 ,  243.275 ,  12.670 ,  3.295 ,  4.319 ,  1.733 ,  50.385 ,  102.510 ,  23.849 ,  2.198 ,  30.733 ,  2.023 ,  195 ,  123 ,  73 ,  125 ,  54 ,  26 ,  - ,  - ,  - ,  2 ,  1 ,  1 ,  68 ,  68 ,  46 ,  32.017 ,  10.930 ,  3.663 ,  2.728 ,  3.444 ,  1.288 ,  548 ,  545 ,  561 ,  28.526 ,  6.745 ,  1.792 ,  215 ,  196 ,  22 
Pública,  12.901 ,  264.367 ,  11.397 ,  10.703 ,  233.634 ,  9.374 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.198 ,  30.733 ,  2.023 ,  193 ,  122 ,  72 ,  125 ,  54 ,  26 ,  - ,  - ,  - ,  - ,  - ,  - ,  68 ,  68 ,  46 ,  1.843 ,  2.492 ,  212 ,  1.628 ,  2.296 ,  190 ,  - ,  - ,  - ,  - ,  - ,  - ,  215 ,  196 ,  22 
Federal,  8.164 ,  221.072 ,  7.278 ,  5.966 ,  190.339 ,  5.255 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.198 ,  30.733 ,  2.023 ,  94 ,  100 ,  72 ,  26 ,  32 ,  26 ,  - ,  - ,  - ,  - ,  - ,  - ,  68 ,  68 ,  46 ,  1.412 ,  2.239 ,  182 ,  1.197 ,  2.043 ,  160 ,  - ,  - ,  - ,  - ,  - ,  - ,  215 ,  196 ,  22 
Estadual,  4.737 ,  43.295 ,  4.119 ,  4.737 ,  43.295 ,  4.119 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  99 ,  22 ,  - ,  99 ,  22 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  431 ,  253 ,  30 ,  431 ,  253 ,  30 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  57.274 ,  116.470 ,  28.878 ,  3.594 ,  9.641 ,  3.296 ,  3.295 ,  4.319 ,  1.733 ,  50.385 ,  102.510 ,  23.849 ,  - ,  - ,  - ,  2 ,  1 ,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  2 ,  1 ,  1 ,  - ,  - ,  - ,  30.174 ,  8.438 ,  3.451 ,  1.100 ,  1.148 ,  1.098 ,  548 ,  545 ,  561 ,  28.526 ,  6.745 ,  1.792 ,  - ,  - ,  - 
Piauí,  51.978 ,  194.326 ,  25.286 ,  11.822 ,  115.486 ,  8.202 ,  7.526 ,  5.169 ,  3.324 ,  30.440 ,  44.327 ,  11.583 ,  2.190 ,  29.344 ,  2.177 ,  198 ,  198 ,  - ,  198 ,  198 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  22.148 ,  15.178 ,  2.416 ,  796 ,  837 ,  202 ,  2.569 ,  1.000 ,  648 ,  18.099 ,  13.077 ,  1.418 ,  684 ,  264 ,  148 
Pública,  14.012 ,  144.830 ,  10.379 ,  11.822 ,  115.486 ,  8.202 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.190 ,  29.344 ,  2.177 ,  198 ,  198 ,  - ,  198 ,  198 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.480 ,  1.101 ,  350 ,  796 ,  837 ,  202 ,  - ,  - ,  - ,  - ,  - ,  - ,  684 ,  264 ,  148 
Federal,  9.092 ,  139.958 ,  7.902 ,  6.902 ,  110.614 ,  5.725 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.190 ,  29.344 ,  2.177 ,  198 ,  198 ,  - ,  198 ,  198 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.442 ,  1.070 ,  321 ,  758 ,  806 ,  173 ,  - ,  - ,  - ,  - ,  - ,  - ,  684 ,  264 ,  148 
Estadual,  4.920 ,  4.872 ,  2.477 ,  4.920 ,  4.872 ,  2.477 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  38 ,  31 ,  29 ,  38 ,  31 ,  29 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  37.966 ,  49.496 ,  14.907 ,  - ,  - ,  - ,  7.526 ,  5.169 ,  3.324 ,  30.440 ,  44.327 ,  11.583 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  20.668 ,  14.077 ,  2.066 ,  - ,  - ,  - ,  2.569 ,  1.000 ,  648 ,  18.099 ,  13.077 ,  1.418 ,  - ,  - ,  - 
Ceará,  140.531 ,  516.891 ,  60.837 ,  23.600 ,  266.078 ,  18.294 ,  58.965 ,  102.330 ,  23.458 ,  52.088 ,  47.236 ,  13.556 ,  5.878 ,  101.247 ,  5.529 ,  1.332 ,  670 ,  31 ,  - ,  - ,  - ,  100 ,  - ,  - ,  1.232 ,  670 ,  31 ,  - ,  - ,  - ,  83.998 ,  27.183 ,  8.423 ,  8.515 ,  7.825 ,  2.357 ,  60.977 ,  9.739 ,  4.297 ,  13.442 ,  8.935 ,  1.296 ,  1.064 ,  684 ,  473 
Pública,  22.992 ,  347.793 ,  20.506 ,  17.114 ,  246.546 ,  14.977 ,  - ,  - ,  - ,  - ,  - ,  - ,  5.878 ,  101.247 ,  5.529 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  4.967 ,  7.475 ,  1.972 ,  3.903 ,  6.791 ,  1.499 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.064 ,  684 ,  473 
Federal,  14.446 ,  276.957 ,  13.276 ,  8.568 ,  175.710 ,  7.747 ,  - ,  - ,  - ,  - ,  - ,  - ,  5.878 ,  101.247 ,  5.529 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  3.995 ,  6.689 ,  1.761 ,  2.931 ,  6.005 ,  1.288 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.064 ,  684 ,  473 
Estadual,  8.546 ,  70.836 ,  7.230 ,  8.546 ,  70.836 ,  7.230 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  972 ,  786 ,  211 ,  972 ,  786 ,  211 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  117.539 ,  169.098 ,  40.331 ,  6.486 ,  19.532 ,  3.317 ,  58.965 ,  102.330 ,  23.458 ,  52.088 ,  47.236 ,  13.556 ,  - ,  - ,  - ,  1.332 ,  670 ,  31 ,  - ,  - ,  - ,  100 ,  - ,  - ,  1.232 ,  670 ,  31 ,  - ,  - ,  - ,  79.031 ,  19.708 ,  6.451 ,  4.612 ,  1.034 ,  858 ,  60.977 ,  9.739 ,  4.297 ,  13.442 ,  8.935 ,  1.296 ,  - ,  - ,  - 
Rio Grande do Norte,  54.075 ,  151.749 ,  27.340 ,  23.141 ,  90.050 ,  19.212 ,  4.114 ,  9.761 ,  1.041 ,  24.926 ,  15.494 ,  5.267 ,  1.894 ,  36.444 ,  1.820 ,  233 ,  1.260 ,  117 ,  60 ,  107 ,  57 ,  - ,  - ,  - ,  113 ,  876 ,  - ,  60 ,  277 ,  60 ,  26.581 ,  18.439 ,  3.727 ,  3.652 ,  14.241 ,  2.808 ,  1.323 ,  1.977 ,  368 ,  21.285 ,  1.735 ,  510 ,  321 ,  486 ,  41 
Pública,  15.706 ,  106.030 ,  14.184 ,  13.581 ,  69.355 ,  12.364 ,  - ,  - ,  - ,  231 ,  231 ,  - ,  1.894 ,  36.444 ,  1.820 ,  120 ,  384 ,  117 ,  60 ,  107 ,  57 ,  - ,  - ,  - ,  - ,  - ,  - ,  60 ,  277 ,  60 ,  2.028 ,  10.297 ,  904 ,  1.707 ,  9.811 ,  863 ,  - ,  - ,  - ,  - ,  - ,  - ,  321 ,  486 ,  41 
Federal,  12.643 ,  102.967 ,  11.610 ,  10.749 ,  66.523 ,  9.790 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.894 ,  36.444 ,  1.820 ,  120 ,  384 ,  117 ,  60 ,  107 ,  57 ,  - ,  - ,  - ,  - ,  - ,  - ,  60 ,  277 ,  60 ,  1.783 ,  10.111 ,  846 ,  1.462 ,  9.625 ,  805 ,  - ,  - ,  - ,  - ,  - ,  - ,  321 ,  486 ,  41 
Estadual,  3.063 ,  3.063 ,  2.574 ,  2.832 ,  2.832 ,  2.574 ,  - ,  - ,  - ,  231 ,  231 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  245 ,  186 ,  58 ,  245 ,  186 ,  58 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  38.369 ,  45.719 ,  13.156 ,  9.560 ,  20.695 ,  6.848 ,  4.114 ,  9.761 ,  1.041 ,  24.695 ,  15.263 ,  5.267 ,  - ,  - ,  - ,  113 ,  876 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  113 ,  876 ,  - ,  - ,  - ,  - ,  24.553 ,  8.142 ,  2.823 ,  1.945 ,  4.430 ,  1.945 ,  1.323 ,  1.977 ,  368 ,  21.285 ,  1.735 ,  510 ,  - ,  - ,  - 
Paraíba,  71.517 ,  333.168 ,  37.754 ,  18.653 ,  227.337 ,  16.753 ,  21.510 ,  26.041 ,  7.765 ,  28.669 ,  32.863 ,  10.652 ,  2.685 ,  46.927 ,  2.584 ,  11 ,  11 ,  1 ,  1 ,  1 ,  1 ,  - ,  - ,  - ,  10 ,  10 ,  - ,  - ,  - ,  - ,  27.041 ,  12.995 ,  4.146 ,  5.872 ,  3.845 ,  1.267 ,  3.748 ,  3.525 ,  1.750 ,  16.239 ,  3.937 ,  815 ,  1.182 ,  1.688 ,  314 
Pública,  21.338 ,  274.264 ,  19.337 ,  18.653 ,  227.337 ,  16.753 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.685 ,  46.927 ,  2.584 ,  1 ,  1 ,  1 ,  1 ,  1 ,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  7.054 ,  5.533 ,  1.581 ,  5.872 ,  3.845 ,  1.267 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.182 ,  1.688 ,  314 
Federal,  15.422 ,  207.305 ,  13.630 ,  12.737 ,  160.378 ,  11.046 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.685 ,  46.927 ,  2.584 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  6.378 ,  4.738 ,  1.283 ,  5.196 ,  3.050 ,  969 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.182 ,  1.688 ,  314 
Estadual,  5.916 ,  66.959 ,  5.707 ,  5.916 ,  66.959 ,  5.707 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1 ,  1 ,  1 ,  1 ,  1 ,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  676 ,  795 ,  298 ,  676 ,  795 ,  298 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  50.179 ,  58.904 ,  18.417 ,  - ,  - ,  - ,  21.510 ,  26.041 ,  7.765 ,  28.669 ,  32.863 ,  10.652 ,  - ,  - ,  - ,  10 ,  10 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  10 ,  10 ,  - ,  - ,  - ,  - ,  19.987 ,  7.462 ,  2.565 ,  - ,  - ,  - ,  3.748 ,  3.525 ,  1.750 ,  16.239 ,  3.937 ,  815 ,  - ,  - ,  - 
Pernambuco,  176.203 ,  390.831 ,  66.755 ,  24.484 ,  231.828 ,  18.696 ,  71.667 ,  65.782 ,  22.350 ,  77.855 ,  60.999 ,  23.550 ,  2.197 ,  32.222 ,  2.159 ,  452 ,  261 ,  100 ,  - ,  - ,  - ,  1 ,  - ,  - ,  451 ,  261 ,  100 ,  - ,  - ,  - ,  61.793 ,  20.274 ,  7.592 ,  7.384 ,  1.841 ,  1.224 ,  27.547 ,  7.535 ,  3.435 ,  26.676 ,  10.719 ,  2.832 ,  186 ,  179 ,  101 
Pública,  28.148 ,  263.936 ,  21.448 ,  15.574 ,  223.780 ,  15.535 ,  - ,  - ,  - ,  10.377 ,  7.934 ,  3.754 ,  2.197 ,  32.222 ,  2.159 ,  430 ,  240 ,  100 ,  - ,  - ,  - ,  - ,  - ,  - ,  430 ,  240 ,  100 ,  - ,  - ,  - ,  6.252 ,  2.268 ,  1.079 ,  3.922 ,  913 ,  537 ,  - ,  - ,  - ,  2.144 ,  1.176 ,  441 ,  186 ,  179 ,  101 
Federal,  14.131 ,  209.176 ,  13.920 ,  11.934 ,  176.954 ,  11.761 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.197 ,  32.222 ,  2.159 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  3.547 ,  852 ,  470 ,  3.361 ,  673 ,  369 ,  - ,  - ,  - ,  - ,  - ,  - ,  186 ,  179 ,  101 
Estadual,  3.640 ,  46.826 ,  3.774 ,  3.640 ,  46.826 ,  3.774 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  561 ,  240 ,  168 ,  561 ,  240 ,  168 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  10.377 ,  7.934 ,  3.754 ,  - ,  - ,  - ,  - ,  - ,  - ,  10.377 ,  7.934 ,  3.754 ,  - ,  - ,  - ,  430 ,  240 ,  100 ,  - ,  - ,  - ,  - ,  - ,  - ,  430 ,  240 ,  100 ,  - ,  - ,  - ,  2.144 ,  1.176 ,  441 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.144 ,  1.176 ,  441 ,  - ,  - ,  - 
Privada,  148.055 ,  126.895 ,  45.307 ,  8.910 ,  8.048 ,  3.161 ,  71.667 ,  65.782 ,  22.350 ,  67.478 ,  53.065 ,  19.796 ,  - ,  - ,  - ,  22 ,  21 ,  - ,  - ,  - ,  - ,  1 ,  - ,  - ,  21 ,  21 ,  - ,  - ,  - ,  - ,  55.541 ,  18.006 ,  6.513 ,  3.462 ,  928 ,  687 ,  27.547 ,  7.535 ,  3.435 ,  24.532 ,  9.543 ,  2.391 ,  - ,  - ,  - 
Alagoas,  47.259 ,  182.345 ,  19.787 ,  6.989 ,  126.100 ,  6.662 ,  20.395 ,  10.640 ,  4.837 ,  18.841 ,  29.202 ,  7.352 ,  1.034 ,  16.403 ,  936 ,  20 ,  3 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  20 ,  3 ,  - ,  - ,  - ,  - ,  22.257 ,  8.538 ,  3.053 ,  4.118 ,  1.820 ,  334 ,  4.361 ,  2.686 ,  1.690 ,  13.623 ,  3.885 ,  894 ,  155 ,  147 ,  135 
Pública,  8.023 ,  142.503 ,  7.598 ,  6.989 ,  126.100 ,  6.662 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.034 ,  16.403 ,  936 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  4.273 ,  1.967 ,  469 ,  4.118 ,  1.820 ,  334 ,  - ,  - ,  - ,  - ,  - ,  - ,  155 ,  147 ,  135 
Federal,  6.382 ,  120.089 ,  6.118 ,  5.348 ,  103.686 ,  5.182 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.034 ,  16.403 ,  936 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  4.040 ,  1.741 ,  432 ,  3.885 ,  1.594 ,  297 ,  - ,  - ,  - ,  - ,  - ,  - ,  155 ,  147 ,  135 
Estadual,  1.641 ,  22.414 ,  1.480 ,  1.641 ,  22.414 ,  1.480 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  233 ,  226 ,  37 ,  233 ,  226 ,  37 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  39.236 ,  39.842 ,  12.189 ,  - ,  - ,  - ,  20.395 ,  10.640 ,  4.837 ,  18.841 ,  29.202 ,  7.352 ,  - ,  - ,  - ,  20 ,  3 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  20 ,  3 ,  - ,  - ,  - ,  - ,  17.984 ,  6.571 ,  2.584 ,  - ,  - ,  - ,  4.361 ,  2.686 ,  1.690 ,  13.623 ,  3.885 ,  894 ,  - ,  - ,  - 
Sergipe,  45.689 ,  84.377 ,  14.393 ,  19.901 ,  55.052 ,  7.746 ,  4.020 ,  14.365 ,  2.116 ,  20.698 ,  11.199 ,  3.694 ,  1.070 ,  3.761 ,  837 ,  4 ,  22 ,  4 ,  4 ,  22 ,  4 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  26.512 ,  11.897 ,  4.520 ,  4.078 ,  3.773 ,  2.880 ,  14.853 ,  1.997 ,  1.185 ,  6.944 ,  6.033 ,  407 ,  637 ,  94 ,  48 
Pública,  6.790 ,  54.821 ,  6.455 ,  5.720 ,  51.060 ,  5.618 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.070 ,  3.761 ,  837 ,  4 ,  22 ,  4 ,  4 ,  22 ,  4 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  2.224 ,  889 ,  524 ,  1.587 ,  795 ,  476 ,  - ,  - ,  - ,  - ,  - ,  - ,  637 ,  94 ,  48 
Federal,  6.790 ,  54.821 ,  6.455 ,  5.720 ,  51.060 ,  5.618 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.070 ,  3.761 ,  837 ,  4 ,  22 ,  4 ,  4 ,  22 ,  4 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  2.224 ,  889 ,  524 ,  1.587 ,  795 ,  476 ,  - ,  - ,  - ,  - ,  - ,  - ,  637 ,  94 ,  48 
Estadual,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
