Unidade da Federação / Categoria Administrativa,Seleção para Vagas Novas - Vagas Oferecidas Total Geral,Seleção para Vagas Novas - Candidatos Inscritos Total Geral,Seleção para Vagas Novas - Ingressos Total Geral,Seleção para Vagas Novas - Vagas Oferecidas Universidades,Seleção para Vagas Novas - Candidatos Inscritos Universidades,Seleção para Vagas Novas - Ingressos Universidades,Seleção para Vagas Novas - Vagas Oferecidas Centros Universitários,Seleção para Vagas Novas - Candidatos Inscritos Centros Universitários,Seleção para Vagas Novas - Ingressos Centros Universitários,Seleção para Vagas Novas - Vagas Oferecidas Faculdades,Seleção para Vagas Novas - Candidatos Inscritos Faculdades,Seleção para Vagas Novas - Ingressos Faculdades,Seleção para Vagas Novas - Vagas Oferecidas IF e CEFET,Seleção para Vagas Novas - Candidatos Inscritos IF e CEFET,Seleção para Vagas Novas - Ingressos IF e CEFET,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Total Geral,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Total Geral,Seleção para Vagas de Programas Especiais - Ingressos Total Geral,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Universidades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Universidades,Seleção para Vagas de Programas Especiais - Ingressos Universidades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Centros Universitários,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Centros Universitários,Seleção para Vagas de Programas Especiais - Ingressos Centros Universitários,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Faculdades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Faculdades,Seleção para Vagas de Programas Especiais - Ingressos Faculdades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas IF e CEFET,Seleção para Vagas de Programas Especiais - Candidatos Inscritos IF e CEFET,Seleção para Vagas de Programas Especiais - Ingressos IF e CEFET,Seleção para Vagas Remanescentes - Vagas Oferecidas Total Geral,Seleção para Vagas Remanescentes - Candidatos Inscritos Total Geral,Seleção para Vagas Remanescentes - Ingressos Total Geral,Seleção para Vagas Remanescentes - Vagas Oferecidas Universidades,Seleção para Vagas Remanescentes - Candidatos Inscritos Universidades,Seleção para Vagas Remanescentes - Ingressos Universidades,Seleção para Vagas Remanescentes - Vagas Oferecidas Centros Universitários,Seleção para Vagas Remanescentes - Candidatos Inscritos Centros Universitários,Seleção para Vagas Remanescentes - Ingressos Centros Universitários,Seleção para Vagas Remanescentes - Vagas Oferecidas Faculdades,Seleção para Vagas Remanescentes - Candidatos Inscritos Faculdades,Seleção para Vagas Remanescentes - Ingressos Faculdades,Seleção para Vagas Remanescentes - Vagas Oferecidas IF e CEFET,Seleção para Vagas Remanescentes - Candidatos Inscritos IF e CEFET,Seleção para Vagas Remanescentes - Ingressos IF e CEFET
Mato Grosso,  71.473 ,  222.201 ,  39.407 ,  20.321 ,  145.001 ,  17.720 ,  13.047 ,  17.133 ,  4.426 ,  35.733 ,  57.695 ,  14.890 ,  2.372 ,  2.372 ,  2.371 ,  190 ,  297 ,  78 ,  110 ,  217 ,  78 ,  - ,  - ,  - ,  80 ,  80 ,  - ,  - ,  - ,  - ,  18.973 ,  8.581 ,  2.858 ,  1.497 ,  2.791 ,  947 ,  1.297 ,  897 ,  758 ,  16.179 ,  4.893 ,  1.153 ,  - ,  - ,  - 
Pública,  14.191 ,  108.465 ,  12.887 ,  11.819 ,  106.093 ,  10.516 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.372 ,  2.372 ,  2.371 ,  110 ,  217 ,  78 ,  110 ,  217 ,  78 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.069 ,  1.280 ,  519 ,  1.069 ,  1.280 ,  519 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Federal,  8.450 ,  66.890 ,  7.530 ,  6.078 ,  64.518 ,  5.159 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.372 ,  2.372 ,  2.371 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  906 ,  852 ,  369 ,  906 ,  852 ,  369 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Estadual,  5.741 ,  41.575 ,  5.357 ,  5.741 ,  41.575 ,  5.357 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  110 ,  217 ,  78 ,  110 ,  217 ,  78 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  163 ,  428 ,  150 ,  163 ,  428 ,  150 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  57.282 ,  113.736 ,  26.520 ,  8.502 ,  38.908 ,  7.204 ,  13.047 ,  17.133 ,  4.426 ,  35.733 ,  57.695 ,  14.890 ,  - ,  - ,  - ,  80 ,  80 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  80 ,  80 ,  - ,  - ,  - ,  - ,  17.904 ,  7.301 ,  2.339 ,  428 ,  1.511 ,  428 ,  1.297 ,  897 ,  758 ,  16.179 ,  4.893 ,  1.153 ,  - ,  - ,  - 
Goiás,  138.641 ,  320.208 ,  60.984 ,  42.040 ,  173.012 ,  22.963 ,  16.897 ,  29.863 ,  7.079 ,  75.419 ,  93.903 ,  27.204 ,  4.285 ,  23.430 ,  3.738 ,  259 ,  1.212 ,  74 ,  176 ,  1.140 ,  72 ,  - ,  - ,  - ,  83 ,  72 ,  2 ,  - ,  - ,  - ,  69.223 ,  31.804 ,  9.640 ,  13.015 ,  17.110 ,  4.598 ,  16.741 ,  1.391 ,  920 ,  37.925 ,  11.624 ,  3.787 ,  1.542 ,  1.679 ,  335 
Pública,  21.810 ,  145.843 ,  18.402 ,  14.829 ,  118.509 ,  13.324 ,  2.176 ,  3.427 ,  1.337 ,  520 ,  477 ,  3 ,  4.285 ,  23.430 ,  3.738 ,  176 ,  1.140 ,  72 ,  176 ,  1.140 ,  72 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  15.385 ,  16.446 ,  2.605 ,  9.814 ,  14.369 ,  2.030 ,  3.978 ,  386 ,  240 ,  51 ,  12 ,  - ,  1.542 ,  1.679 ,  335 
Federal,  10.873 ,  118.753 ,  9.974 ,  6.588 ,  95.323 ,  6.236 ,  - ,  - ,  - ,  - ,  - ,  - ,  4.285 ,  23.430 ,  3.738 ,  175 ,  1.114 ,  72 ,  175 ,  1.114 ,  72 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  2.998 ,  12.051 ,  1.211 ,  1.456 ,  10.372 ,  876 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.542 ,  1.679 ,  335 
Estadual,  5.968 ,  21.792 ,  5.755 ,  5.968 ,  21.792 ,  5.755 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1 ,  26 ,  - ,  1 ,  26 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  8.117 ,  3.756 ,  919 ,  8.117 ,  3.756 ,  919 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  4.969 ,  5.298 ,  2.673 ,  2.273 ,  1.394 ,  1.333 ,  2.176 ,  3.427 ,  1.337 ,  520 ,  477 ,  3 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  4.270 ,  639 ,  475 ,  241 ,  241 ,  235 ,  3.978 ,  386 ,  240 ,  51 ,  12 ,  - ,  - ,  - ,  - 
Privada,  116.831 ,  174.365 ,  42.582 ,  27.211 ,  54.503 ,  9.639 ,  14.721 ,  26.436 ,  5.742 ,  74.899 ,  93.426 ,  27.201 ,  - ,  - ,  - ,  83 ,  72 ,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  83 ,  72 ,  2 ,  - ,  - ,  - ,  53.838 ,  15.358 ,  7.035 ,  3.201 ,  2.741 ,  2.568 ,  12.763 ,  1.005 ,  680 ,  37.874 ,  11.612 ,  3.787 ,  - ,  - ,  - 
Distrito Federal,  125.422 ,  318.693 ,  50.643 ,  28.209 ,  102.650 ,  13.963 ,  57.559 ,  109.492 ,  20.587 ,  37.958 ,  62.923 ,  14.348 ,  1.696 ,  43.628 ,  1.745 ,  801 ,  1.646 ,  238 ,  125 ,  909 ,  113 ,  - ,  - ,  - ,  676 ,  737 ,  125 ,  - ,  - ,  - ,  40.515 ,  31.623 ,  9.217 ,  3.332 ,  6.281 ,  2.286 ,  28.083 ,  17.906 ,  5.449 ,  8.593 ,  7.040 ,  1.347 ,  507 ,  396 ,  135 
Pública,  10.540 ,  111.214 ,  9.950 ,  8.439 ,  56.009 ,  7.910 ,  - ,  - ,  - ,  405 ,  11.577 ,  295 ,  1.696 ,  43.628 ,  1.745 ,  140 ,  1.015 ,  152 ,  125 ,  909 ,  113 ,  - ,  - ,  - ,  15 ,  106 ,  39 ,  - ,  - ,  - ,  2.338 ,  4.249 ,  1.555 ,  1.831 ,  3.853 ,  1.420 ,  - ,  - ,  - ,  - ,  - ,  - ,  507 ,  396 ,  135 
Federal,  10.335 ,  100.544 ,  9.768 ,  8.439 ,  56.009 ,  7.910 ,  - ,  - ,  - ,  200 ,  907 ,  113 ,  1.696 ,  43.628 ,  1.745 ,  125 ,  909 ,  113 ,  125 ,  909 ,  113 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  2.338 ,  4.249 ,  1.555 ,  1.831 ,  3.853 ,  1.420 ,  - ,  - ,  - ,  - ,  - ,  - ,  507 ,  396 ,  135 
Estadual,  205 ,  10.670 ,  182 ,  - ,  - ,  - ,  - ,  - ,  - ,  205 ,  10.670 ,  182 ,  - ,  - ,  - ,  15 ,  106 ,  39 ,  - ,  - ,  - ,  - ,  - ,  - ,  15 ,  106 ,  39 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  114.882 ,  207.479 ,  40.693 ,  19.770 ,  46.641 ,  6.053 ,  57.559 ,  109.492 ,  20.587 ,  37.553 ,  51.346 ,  14.053 ,  - ,  - ,  - ,  661 ,  631 ,  86 ,  - ,  - ,  - ,  - ,  - ,  - ,  661 ,  631 ,  86 ,  - ,  - ,  - ,  38.177 ,  27.374 ,  7.662 ,  1.501 ,  2.428 ,  866 ,  28.083 ,  17.906 ,  5.449 ,  8.593 ,  7.040 ,  1.347 ,  - ,  - ,  - 
