Unidade da Federação/Categoria Administrativa,Vagas Oferecidas Total Geral,Candidatos Inscritos Total Geral,Ingressos Total Geral,Vagas Oferecidas Universidades,Candidatos Inscritos Universidades,Ingressos Universidades,Vagas Oferecidas Centros Universitários,Candidatos Inscritos Centros Universitários,Ingressos Centros Universitários,Vagas Oferecidas Faculdades Integradas,Candidatos Inscritos Faculdades Integradas,Ingressos Faculdades Integradas,"Vagas Oferecidas Faculdades, Escolas e Institutos","Candidatos Inscritos Faculdades, Escolas e Institutos","Ingressos Faculdades, Escolas e Institutos",Vagas Oferecidas CET/FaT,Candidatos Inscritos CET/FaT,Ingressos CET/FaT
Rio de Janeiro,  266.241 ,  515.025 ,  148.443 ,  162.919 ,  383.281 ,  95.401 ,  68.924 ,  78.729 ,  33.545 ,  7.548 ,  11.670 ,  5.042 ,  24.002 ,  29.774 ,  12.358 ,  2.848 ,  11.571 ,  2.097 
Pública,  22.252 ,  180.494 ,  21.551 ,  19.974 ,  166.663 ,  19.491 , - , - , - , - , - , - ,  500 ,  2.895 ,  361 ,  1.778 ,  10.936 ,  1.699 
Federal,  16.308 ,  148.125 ,  15.813 ,  14.310 ,  134.571 ,  13.902 , - , - , - , - , - , - ,  220 ,  2.618 ,  212 ,  1.778 ,  10.936 ,  1.699 
Estadual,  5.664 ,  32.092 ,  5.589 ,  5.664 ,  32.092 ,  5.589 , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal,  280 ,  277 ,  149 , - , - , - , - , - , - , - , - , - ,  280 ,  277 ,  149 , - , - , - 
Privada,  243.989 ,  334.531 ,  126.892 ,  142.945 ,  216.618 ,  75.910 ,  68.924 ,  78.729 ,  33.545 ,  7.548 ,  11.670 ,  5.042 ,  23.502 ,  26.879 ,  11.997 ,  1.070 ,  635 ,  398 
Particular,  38.299 ,  34.514 ,  18.249 , - , - , - ,  18.461 ,  11.833 ,  6.980 ,  5.566 ,  6.674 ,  3.421 ,  13.202 ,  15.372 ,  7.450 ,  1.070 ,  635 ,  398 
Comun/Confes/Filant,  205.690 ,  300.017 ,  108.643 ,  142.945 ,  216.618 ,  75.910 ,  50.463 ,  66.896 ,  26.565 ,  1.982 ,  4.996 ,  1.621 ,  10.300 ,  11.507 ,  4.547 , - , - , - 
São Paulo,  819.927 ,  1.318.999 ,  396.583 ,  378.377 ,  772.825 ,  178.496 ,  165.805 ,  206.606 ,  89.805 ,  59.066 ,  56.170 ,  28.861 ,  171.800 ,  210.580 ,  81.281 ,  44.879 ,  72.818 ,  18.140 
Pública,  54.805 ,  390.292 ,  46.353 ,  28.628 ,  300.750 ,  26.523 ,  6.850 ,  9.594 ,  5.066 ,  4.470 ,  5.973 ,  2.858 ,  8.477 ,  27.496 ,  5.570 ,  6.380 ,  46.479 ,  6.336 
Federal,  2.392 ,  51.306 ,  2.396 ,  1.430 ,  35.327 ,  1.434 , - , - , - , - , - , - ,  142 ,  7.115 ,  142 ,  820 ,  8.864 ,  820 
Estadual,  25.798 ,  298.770 ,  25.814 ,  19.594 ,  253.586 ,  19.656 , - , - , - , - , - , - ,  644 ,  7.569 ,  642 ,  5.560 ,  37.615 ,  5.516 
Municipal,  26.615 ,  40.216 ,  18.143 ,  7.604 ,  11.837 ,  5.433 ,  6.850 ,  9.594 ,  5.066 ,  4.470 ,  5.973 ,  2.858 ,  7.691 ,  12.812 ,  4.786 , - , - , - 
Privada,  765.122 ,  928.707 ,  350.230 ,  349.749 ,  472.075 ,  151.973 ,  158.955 ,  197.012 ,  84.739 ,  54.596 ,  50.197 ,  26.003 ,  163.323 ,  183.084 ,  75.711 ,  38.499 ,  26.339 ,  11.804 
Particular,  612.490 ,  643.668 ,  259.236 ,  270.496 ,  302.731 ,  103.828 ,  118.874 ,  125.522 ,  59.200 ,  42.223 ,  38.086 ,  19.909 ,  142.398 ,  150.990 ,  64.495 ,  38.499 ,  26.339 ,  11.804 
Comun/Confes/Filant,  152.632 ,  285.039 ,  90.994 ,  79.253 ,  169.344 ,  48.145 ,  40.081 ,  71.490 ,  25.539 ,  12.373 ,  12.111 ,  6.094 ,  20.925 ,  32.094 ,  11.216 , - , - , - 
Sul,  378.665 ,  736.975 ,  237.127 ,  189.830 ,  502.051 ,  134.600 ,  45.146 ,  60.209 ,  26.477 ,  13.738 ,  15.024 ,  6.468 ,  115.368 ,  144.870 ,  61.638 ,  14.583 ,  14.821 ,  7.944 
Pública,  61.326 ,  369.852 ,  54.567 ,  53.611 ,  336.390 ,  47.582 , - , - , - , - , - , - ,  6.991 ,  29.735 ,  6.294 ,  724 ,  3.727 ,  691 
Federal,  22.033 ,  203.239 ,  21.606 ,  21.171 ,  196.614 ,  20.778 , - , - , - , - , - , - ,  138 ,  2.898 ,  137 ,  724 ,  3.727 ,  691 
Estadual,  20.958 ,  142.163 ,  20.667 ,  15.985 ,  117.412 ,  15.761 , - , - , - , - , - , - ,  4.973 ,  24.751 ,  4.906 , - , - , - 
Municipal,  18.335 ,  24.450 ,  12.294 ,  16.455 ,  22.364 ,  11.043 , - , - , - , - , - , - ,  1.880 ,  2.086 ,  1.251 , - , - , - 
Privada,  317.339 ,  367.123 ,  182.560 ,  136.219 ,  165.661 ,  87.018 ,  45.146 ,  60.209 ,  26.477 ,  13.738 ,  15.024 ,  6.468 ,  108.377 ,  115.135 ,  55.344 ,  13.859 ,  11.094 ,  7.253 
