Unidade da Federação / Categoria Administrativa,Seleção para Vagas Novas -  Vagas Oferecidas Total Geral,Seleção para Vagas Novas - Candidatos Inscritos Total Geral,Seleção para Vagas Novas - Ingressos Total Geral,Seleção para Vagas Novas - Vagas Oferecidas Universidades,Seleção para Vagas Novas - Candidatos Inscritos Universidades,Seleção para Vagas Novas - Ingressos Universidades,Seleção para Vagas Novas - Vagas Oferecidas Centros Universitários,Seleção para Vagas Novas - Candidatos Inscritos Centros Universitários,Seleção para Vagas Novas - Ingressos Centros Universitários,Seleção para Vagas Novas - Vagas Oferecidas Faculdades,Seleção para Vagas Novas - Candidatos Inscritos Faculdades,Seleção para Vagas Novas - Ingressos Faculdades,Seleção para Vagas Novas - Vagas Oferecidas IF e CEFET,Seleção para Vagas Novas - Candidatos Inscritos IF e CEFET,Seleção para Vagas Novas - Ingressos IF e CEFET,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Total Geral,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Total Geral,Seleção para Vagas de Programas Especiais - Ingressos Total Geral,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Universidades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Universidades,Seleção para Vagas de Programas Especiais - Ingressos Universidades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Centros Universitários,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Centros Universitários,Seleção para Vagas de Programas Especiais - Ingressos Centros Universitários,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Faculdades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Faculdades,Seleção para Vagas de Programas Especiais - Ingressos Faculdades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas IF e CEFET,Seleção para Vagas de Programas Especiais - Candidatos Inscritos IF e CEFET,Seleção para Vagas de Programas Especiais - Ingressos IF e CEFET,Seleção para Vagas Remanescentes - Vagas Oferecidas Total Geral,Seleção para Vagas Remanescentes - Candidatos Inscritos Total Geral,Seleção para Vagas Remanescentes - Ingressos Total Geral,Seleção para Vagas Remanescentes - Vagas Oferecidas Universidades,Seleção para Vagas Remanescentes - Candidatos Inscritos Universidades,Seleção para Vagas Remanescentes - Ingressos Universidades,Seleção para Vagas Remanescentes - Vagas Oferecidas Centros Universitários,Seleção para Vagas Remanescentes - Candidatos Inscritos Centros Universitários,Seleção para Vagas Remanescentes - Ingressos Centros Universitários,Seleção para Vagas Remanescentes - Vagas Oferecidas Faculdades,Seleção para Vagas Remanescentes - Candidatos Inscritos Faculdades,Seleção para Vagas Remanescentes - Ingressos Faculdades,Seleção para Vagas Remanescentes - Vagas Oferecidas IF e CEFET,Seleção para Vagas Remanescentes - Candidatos Inscritos IF e CEFET,Seleção para Vagas Remanescentes - Ingressos IF e CEFET
Municipal,  28.731 ,  56.542 ,  14.784 ,  7.772 ,  19.152 ,  5.409 ,  3.622 ,  9.841 ,  1.469 ,  17.337 ,  27.549 ,  7.906 , . , . , . ,  48 ,  45 ,  43 ,  - ,  - ,  - ,  45 ,  45 ,  43 ,  3 ,  - ,  - , . , . , . ,  6.263 ,  2.718 ,  1.213 ,  2.850 ,  1.678 ,  903 ,  150 ,  114 ,  50 ,  3.263 ,  926 ,  260 , . , . , . 
Privada,  1.796.258 ,  2.731.343 ,  783.716 ,  774.139 ,  1.304.239 ,  361.440 ,  369.207 ,  520.218 ,  166.922 ,  652.912 ,  906.886 ,  255.354 , . , . , . ,  3.313 ,  3.272 ,  952 ,  546 ,  809 ,  542 ,  145 ,  54 ,  16 ,  2.622 ,  2.409 ,  394 , . , . , . ,  1.053.940 ,  362.837 ,  119.271 ,  491.855 ,  190.371 ,  64.668 ,  209.006 ,  87.999 ,  33.576 ,  353.079 ,  84.467 ,  21.027 , . , . , . 
Minas Gerais,  334.240 ,  1.527.372 ,  181.833 ,  94.231 ,  1.046.234 ,  62.223 ,  64.689 ,  99.517 ,  37.893 ,  168.201 ,  272.678 ,  74.854 ,  7.119 ,  108.943 ,  6.863 ,  745 ,  775 ,  204 ,  408 ,  478 ,  201 ,  - ,  - ,  - ,  252 ,  291 ,  3 ,  85 ,  6 ,  - ,  142.247 ,  72.992 ,  30.810 ,  39.430 ,  22.494 ,  12.375 ,  38.158 ,  27.027 ,  8.306 ,  62.066 ,  22.560 ,  9.759 ,  2.593 ,  911 ,  370 
Pública,  52.572 ,  1.048.870 ,  44.844 ,  45.066 ,  938.755 ,  37.697 , . , . , . ,  387 ,  1.172 ,  284 ,  7.119 ,  108.943 ,  6.863 ,  482 ,  473 ,  201 ,  397 ,  467 ,  201 , . , . , . ,  - ,  - ,  - ,  85 ,  6 ,  - ,  25.714 ,  15.223 ,  7.315 ,  23.068 ,  14.296 ,  6.929 , . , . , . ,  53 ,  16 ,  16 ,  2.593 ,  911 ,  370 
Federal,  42.789 ,  1.008.927 ,  39.591 ,  35.670 ,  899.984 ,  32.728 , . , . , . , . , . , . ,  7.119 ,  108.943 ,  6.863 ,  451 ,  440 ,  199 ,  366 ,  434 ,  199 , . , . , . , . , . , . ,  85 ,  6 ,  - ,  24.024 ,  12.429 ,  4.963 ,  21.431 ,  11.518 ,  4.593 , . , . , . , . , . , . ,  2.593 ,  911 ,  370 
Estadual,  9.543 ,  39.782 ,  5.107 ,  9.396 ,  38.771 ,  4.969 , . , . , . ,  147 ,  1.011 ,  138 , . , . , . ,  31 ,  33 ,  2 ,  31 ,  33 ,  2 , . , . , . ,  - ,  - ,  - , . , . , . ,  1.664 ,  2.778 ,  2.336 ,  1.637 ,  2.778 ,  2.336 , . , . , . ,  27 ,  - ,  - , . , . , . 
Municipal,  240 ,  161 ,  146 , . , . , . , . , . , . ,  240 ,  161 ,  146 , . , . , . ,  - ,  - ,  - , . , . , . , . , . , . ,  - ,  - ,  - , . , . , . ,  26 ,  16 ,  16 , . , . , . , . , . , . ,  26 ,  16 ,  16 , . , . , . 
Privada,  281.668 ,  478.502 ,  136.989 ,  49.165 ,  107.479 ,  24.526 ,  64.689 ,  99.517 ,  37.893 ,  167.814 ,  271.506 ,  74.570 , . , . , . ,  263 ,  302 ,  3 ,  11 ,  11 ,  - ,  - ,  - ,  - ,  252 ,  291 ,  3 , . , . , . ,  116.533 ,  57.769 ,  23.495 ,  16.362 ,  8.198 ,  5.446 ,  38.158 ,  27.027 ,  8.306 ,  62.013 ,  22.544 ,  9.743 , . , . , . 
Espírito Santo,  63.850 ,  221.466 ,  33.444 ,  8.260 ,  64.371 ,  6.627 ,  3.880 ,  7.947 ,  1.933 ,  50.150 ,  101.686 ,  23.456 ,  1.560 ,  47.462 ,  1.428 ,  811 ,  1.111 ,  379 ,  120 ,  192 ,  116 ,  - ,  - ,  - ,  571 ,  815 ,  182 ,  120 ,  104 ,  81 ,  28.439 ,  28.924 ,  4.837 ,  2.430 ,  5.566 ,  1.255 ,  802 ,  191 ,  78 ,  24.743 ,  22.833 ,  3.410 ,  464 ,  334 ,  94 
Pública,  7.530 ,  77.680 ,  5.618 ,  5.130 ,  29.819 ,  3.969 , . , . , . ,  840 ,  399 ,  221 ,  1.560 ,  47.462 ,  1.428 ,  240 ,  296 ,  197 ,  120 ,  192 ,  116 , . , . , . ,  - ,  - ,  - ,  120 ,  104 ,  81 ,  1.747 ,  3.901 ,  610 ,  1.245 ,  3.560 ,  516 , . , . , . ,  38 ,  7 ,  - ,  464 ,  334 ,  94 
Federal,  6.690 ,  77.281 ,  5.397 ,  5.130 ,  29.819 ,  3.969 , . , . , . , . , . , . ,  1.560 ,  47.462 ,  1.428 ,  240 ,  296 ,  197 ,  120 ,  192 ,  116 , . , . , . , . , . , . ,  120 ,  104 ,  81 ,  1.709 ,  3.894 ,  610 ,  1.245 ,  3.560 ,  516 , . , . , . , . , . , . ,  464 ,  334 ,  94 
Estadual,  100 ,  166 ,  73 , . , . , . , . , . , . ,  100 ,  166 ,  73 , . , . , . ,  - ,  - ,  - , . , . , . , . , . , . ,  - ,  - ,  - , . , . , . ,  38 ,  7 ,  - , . , . , . , . , . , . ,  38 ,  7 ,  - , . , . , . 
Municipal,  740 ,  233 ,  148 , . , . , . , . , . , . ,  740 ,  233 ,  148 , . , . , . ,  - ,  - ,  - , . , . , . , . , . , . ,  - ,  - ,  - , . , . , . ,  - ,  - ,  - , . , . , . , . , . , . ,  - ,  - ,  - , . , . , . 
Privada,  56.320 ,  143.786 ,  27.826 ,  3.130 ,  34.552 ,  2.658 ,  3.880 ,  7.947 ,  1.933 ,  49.310 ,  101.287 ,  23.235 , . , . , . ,  571 ,  815 ,  182 ,  - ,  - ,  - ,  - ,  - ,  - ,  571 ,  815 ,  182 , . , . , . ,  26.692 ,  25.023 ,  4.227 ,  1.185 ,  2.006 ,  739 ,  802 ,  191 ,  78 ,  24.705 ,  22.826 ,  3.410 , . , . , . 
Rio de Janeiro,  300.470 ,  1.399.955 ,  164.374 ,  183.489 ,  1.146.169 ,  112.048 ,  64.504 ,  83.486 ,  28.153 ,  48.337 ,  80.988 ,  20.510 ,  4.140 ,  89.312 ,  3.663 ,  2.069 ,  2.475 ,  1.922 ,  1.897 ,  2.249 ,  1.861 ,  48 ,  45 ,  43 ,  121 ,  178 ,  18 ,  3 ,  3 ,  - ,  318.135 ,  120.504 ,  36.548 ,  200.152 ,  98.778 ,  25.992 ,  82.427 ,  11.987 ,  7.772 ,  34.002 ,  9.274 ,  2.576 ,  1.554 ,  465 ,  208 
Pública,  39.633 ,  952.646 ,  34.335 ,  32.119 ,  836.128 ,  27.830 ,  600 ,  7.861 ,  540 ,  2.774 ,  19.345 ,  2.302 ,  4.140 ,  89.312 ,  3.663 ,  1.433 ,  1.499 ,  1.362 ,  1.382 ,  1.451 ,  1.319 ,  45 ,  45 ,  43 ,  3 ,  - ,  - ,  3 ,  3 ,  - ,  8.579 ,  9.642 ,  3.364 ,  6.610 ,  8.867 ,  3.093 ,  120 ,  51 ,  41 ,  295 ,  259 ,  22 ,  1.554 ,  465 ,  208 
Federal,  29.406 ,  872.682 ,  27.255 ,  24.972 ,  774.898 ,  23.325 , . , . , . ,  294 ,  8.472 ,  267 ,  4.140 ,  89.312 ,  3.663 ,  56 ,  94 ,  31 ,  53 ,  91 ,  31 , . , . , . ,  - ,  - ,  - ,  3 ,  3 ,  - ,  8.035 ,  9.162 ,  3.150 ,  6.356 ,  8.577 ,  2.936 , . , . , . ,  125 ,  120 ,  6 ,  1.554 ,  465 ,  208 
Estadual,  9.380 ,  77.685 ,  6.294 ,  7.147 ,  61.230 ,  4.505 ,  600 ,  7.861 ,  540 ,  1.633 ,  8.594 ,  1.249 , . , . , . ,  1.329 ,  1.360 ,  1.288 ,  1.329 ,  1.360 ,  1.288 ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . ,  441 ,  381 ,  198 ,  254 ,  290 ,  157 ,  120 ,  51 ,  41 ,  67 ,  40 ,  - , . , . , . 
Municipal,  847 ,  2.279 ,  786 , . , . , . ,  - ,  - ,  - ,  847 ,  2.279 ,  786 , . , . , . ,  48 ,  45 ,  43 , . , . , . ,  45 ,  45 ,  43 ,  3 ,  - ,  - , . , . , . ,  103 ,  99 ,  16 , . , . , . ,  - ,  - ,  - ,  103 ,  99 ,  16 , . , . , . 
Privada,  260.837 ,  447.309 ,  130.039 ,  151.370 ,  310.041 ,  84.218 ,  63.904 ,  75.625 ,  27.613 ,  45.563 ,  61.643 ,  18.208 , . , . , . ,  636 ,  976 ,  560 ,  515 ,  798 ,  542 ,  3 ,  - ,  - ,  118 ,  178 ,  18 , . , . , . ,  309.556 ,  110.862 ,  33.184 ,  193.542 ,  89.911 ,  22.899 ,  82.307 ,  11.936 ,  7.731 ,  33.707 ,  9.015 ,  2.554 , . , . , . 
São Paulo,  1.288.635 ,  2.638.861 ,  559.869 ,  608.146 ,  1.522.577 ,  283.636 ,  240.356 ,  346.970 ,  100.952 ,  436.322 ,  614.384 ,  171.100 ,  3.811 ,  154.930 ,  4.181 ,  2.201 ,  1.235 ,  215 ,  120 ,  31 ,  - ,  142 ,  54 ,  16 ,  1.931 ,  1.142 ,  199 ,  8 ,  8 ,  - ,  623.383 ,  180.422 ,  63.895 ,  295.655 ,  98.388 ,  40.239 ,  87.889 ,  48.959 ,  17.511 ,  239.780 ,  33.038 ,  6.116 ,  59 ,  37 ,  29 
Pública,  91.202 ,  977.115 ,  71.007 ,  37.672 ,  670.410 ,  33.598 ,  3.622 ,  9.841 ,  1.469 ,  46.097 ,  141.934 ,  31.759 ,  3.811 ,  154.930 ,  4.181 ,  358 ,  56 ,  8 ,  100 ,  31 ,  - ,  - ,  - ,  - ,  250 ,  17 ,  8 ,  8 ,  8 ,  - ,  22.224 ,  11.239 ,  5.530 ,  14.889 ,  8.132 ,  4.655 ,  150 ,  114 ,  50 ,  7.126 ,  2.956 ,  796 ,  59 ,  37 ,  29 
Federal,  11.595 ,  377.044 ,  11.673 ,  7.614 ,  214.835 ,  7.323 , . , . , . ,  170 ,  7.279 ,  169 ,  3.811 ,  154.930 ,  4.181 ,  76 ,  16 ,  8 ,  60 ,  - ,  - , . , . , . ,  8 ,  8 ,  8 ,  8 ,  8 ,  - ,  5.840 ,  3.534 ,  2.411 ,  5.729 ,  3.445 ,  2.330 , . , . , . ,  52 ,  52 ,  52 ,  59 ,  37 ,  29 
Estadual,  52.703 ,  546.202 ,  45.630 ,  22.286 ,  436.423 ,  20.866 , . , . , . ,  30.417 ,  109.779 ,  24.764 , . , . , . ,  282 ,  40 ,  - ,  40 ,  31 ,  - , . , . , . ,  242 ,  9 ,  - , . , . , . ,  10.250 ,  5.102 ,  1.938 ,  6.310 ,  3.009 ,  1.422 , . , . , . ,  3.940 ,  2.093 ,  516 , . , . , . 
Municipal,  26.904 ,  53.869 ,  13.704 ,  7.772 ,  19.152 ,  5.409 ,  3.622 ,  9.841 ,  1.469 ,  15.510 ,  24.876 ,  6.826 , . , . , . ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . ,  6.134 ,  2.603 ,  1.181 ,  2.850 ,  1.678 ,  903 ,  150 ,  114 ,  50 ,  3.134 ,  811 ,  228 , . , . , . 
Privada,  1.197.433 ,  1.661.746 ,  488.862 ,  570.474 ,  852.167 ,  250.038 ,  236.734 ,  337.129 ,  99.483 ,  390.225 ,  472.450 ,  139.341 , . , . , . ,  1.843 ,  1.179 ,  207 ,  20 ,  - ,  - ,  142 ,  54 ,  16 ,  1.681 ,  1.125 ,  191 , . , . , . ,  601.159 ,  169.183 ,  58.365 ,  280.766 ,  90.256 ,  35.584 ,  87.739 ,  48.845 ,  17.461 ,  232.654 ,  30.082 ,  5.320 , . , . , . 
Sul,  524.019 ,  1.668.254 ,  283.018 ,  234.573 ,  1.168.334 ,  161.069 ,  65.173 ,  112.312 ,  32.204 ,  215.915 ,  271.153 ,  82.245 ,  8.358 ,  116.455 ,  7.500 ,  3.725 ,  3.863 ,  1.303 ,  2.435 ,  2.734 ,  1.153 ,  - ,  - ,  - ,  1.035 ,  560 ,  20 ,  255 ,  569 ,  130 ,  309.390 ,  112.862 ,  48.658 ,  155.725 ,  54.889 ,  29.481 ,  40.112 ,  16.307 ,  5.687 ,  111.343 ,  39.988 ,  12.952 ,  2.210 ,  1.678 ,  538 
Pública,  91.783 ,  973.794 ,  80.062 ,  79.618 ,  852.516 ,  70.438 ,  2.607 ,  3.936 ,  1.568 ,  1.200 ,  887 ,  556 ,  8.358 ,  116.455 ,  7.500 ,  2.588 ,  3.211 ,  1.223 ,  2.333 ,  2.642 ,  1.093 ,  - ,  - ,  - ,  - ,  - ,  - ,  255 ,  569 ,  130 ,  36.846 ,  19.390 ,  9.338 ,  33.768 ,  17.488 ,  8.721 ,  821 ,  205 ,  57 ,  47 ,  19 ,  22 ,  2.210 ,  1.678 ,  538 
Federal,  56.279 ,  707.913 ,  52.160 ,  47.921 ,  591.458 ,  44.660 , . , . , . , . , . , . ,  8.358 ,  116.455 ,  7.500 ,  1.586 ,  2.207 ,  948 ,  1.331 ,  1.638 ,  818 , . , . , . , . , . , . ,  255 ,  569 ,  130 ,  23.201 ,  13.587 ,  7.302 ,  20.991 ,  11.909 ,  6.764 , . , . , . , . , . , . ,  2.210 ,  1.678 ,  538 
Estadual,  23.214 ,  247.715 ,  20.548 ,  23.214 ,  247.715 ,  20.548 , . , . , . , . , . , . , . , . , . ,  728 ,  750 ,  208 ,  728 ,  750 ,  208 , . , . , . , . , . , . , . , . , . ,  6.813 ,  3.351 ,  1.153 ,  6.813 ,  3.351 ,  1.153 , . , . , . , . , . , . , . , . , . 
Municipal,  12.290 ,  18.166 ,  7.354 ,  8.483 ,  13.343 ,  5.230 ,  2.607 ,  3.936 ,  1.568 ,  1.200 ,  887 ,  556 , . , . , . ,  274 ,  254 ,  67 ,  274 ,  254 ,  67 ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . ,  6.832 ,  2.452 ,  883 ,  5.964 ,  2.228 ,  804 ,  821 ,  205 ,  57 ,  47 ,  19 ,  22 , . , . , . 
Privada,  432.236 ,  694.460 ,  202.956 ,  154.955 ,  315.818 ,  90.631 ,  62.566 ,  108.376 ,  30.636 ,  214.715 ,  270.266 ,  81.689 , . , . , . ,  1.137 ,  652 ,  80 ,  102 ,  92 ,  60 ,  - ,  - ,  - ,  1.035 ,  560 ,  20 , . , . , . ,  272.544 ,  93.472 ,  39.320 ,  121.957 ,  37.401 ,  20.760 ,  39.291 ,  16.102 ,  5.630 ,  111.296 ,  39.969 ,  12.930 , . , . , . 
Paraná,  224.407 ,  748.470 ,  119.256 ,  85.010 ,  542.242 ,  59.758 ,  27.228 ,  57.034 ,  15.770 ,  110.877 ,  145.159 ,  42.534 ,  1.292 ,  4.035 ,  1.194 ,  1.633 ,  1.767 ,  582 ,  1.173 ,  1.598 ,  580 ,  - ,  - ,  - ,  454 ,  163 ,  - ,  6 ,  6 ,  2 ,  103.554 ,  31.205 ,  12.412 ,  26.430 ,  9.038 ,  4.720 ,  12.075 ,  5.751 ,  2.464 ,  64.938 ,  16.363 ,  5.193 ,  111 ,  53 ,  35 
Pública,  39.391 ,  450.394 ,  35.033 ,  36.289 ,  444.882 ,  33.348 ,  1.010 ,  990 ,  331 ,  800 ,  487 ,  160 ,  1.292 ,  4.035 ,  1.194 ,  1.179 ,  1.604 ,  582 ,  1.173 ,  1.598 ,  580 ,  - ,  - ,  - ,  - ,  - ,  - ,  6 ,  6 ,  2 ,  8.693 ,  4.080 ,  1.957 ,  8.257 ,  4.008 ,  1.900 ,  278 ,  - ,  - ,  47 ,  19 ,  22 ,  111 ,  53 ,  35 
Federal,  19.102 ,  263.583 ,  18.073 ,  17.810 ,  259.548 ,  16.879 , . , . , . , . , . , . ,  1.292 ,  4.035 ,  1.194 ,  451 ,  854 ,  374 ,  445 ,  848 ,  372 , . , . , . , . , . , . ,  6 ,  6 ,  2 ,  3.520 ,  1.714 ,  1.116 ,  3.409 ,  1.661 ,  1.081 , . , . , . , . , . , . ,  111 ,  53 ,  35 
Estadual,  18.479 ,  185.334 ,  16.469 ,  18.479 ,  185.334 ,  16.469 , . , . , . , . , . , . , . , . , . ,  728 ,  750 ,  208 ,  728 ,  750 ,  208 , . , . , . , . , . , . , . , . , . ,  4.848 ,  2.347 ,  819 ,  4.848 ,  2.347 ,  819 , . , . , . , . , . , . , . , . , . 
Municipal,  1.810 ,  1.477 ,  491 , . , . , . ,  1.010 ,  990 ,  331 ,  800 ,  487 ,  160 , . , . , . ,  - ,  - ,  - , . , . , . ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . ,  325 ,  19 ,  22 , . , . , . ,  278 ,  - ,  - ,  47 ,  19 ,  22 , . , . , . 
Privada,  185.016 ,  298.076 ,  84.223 ,  48.721 ,  97.360 ,  26.410 ,  26.218 ,  56.044 ,  15.439 ,  110.077 ,  144.672 ,  42.374 , . , . , . ,  454 ,  163 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  454 ,  163 ,  - , . , . , . ,  94.861 ,  27.125 ,  10.455 ,  18.173 ,  5.030 ,  2.820 ,  11.797 ,  5.751 ,  2.464 ,  64.891 ,  16.344 ,  5.171 , . , . , . 
Santa Catarina,  108.169 ,  269.210 ,  64.688 ,  50.464 ,  173.922 ,  37.854 ,  14.492 ,  23.729 ,  9.669 ,  40.454 ,  42.413 ,  14.656 ,  2.759 ,  29.146 ,  2.509 ,  636 ,  420 ,  69 ,  278 ,  261 ,  67 ,  - ,  - ,  - ,  330 ,  146 ,  2 ,  28 ,  13 ,  - ,  76.627 ,  30.492 ,  12.996 ,  49.516 ,  17.544 ,  8.466 ,  11.562 ,  6.067 ,  1.690 ,  14.430 ,  5.930 ,  2.624 ,  1.119 ,  951 ,  216 
Pública,  23.755 ,  128.123 ,  18.762 ,  18.999 ,  95.631 ,  14.620 ,  1.597 ,  2.946 ,  1.237 ,  400 ,  400 ,  396 ,  2.759 ,  29.146 ,  2.509 ,  306 ,  274 ,  67 ,  278 ,  261 ,  67 ,  - ,  - ,  - ,  - ,  - ,  - ,  28 ,  13 ,  - ,  14.796 ,  6.593 ,  3.244 ,  13.134 ,  5.437 ,  2.971 ,  543 ,  205 ,  57 ,  - ,  - ,  - ,  1.119 ,  951 ,  216 
Federal,  10.180 ,  78.864 ,  9.157 ,  7.421 ,  49.718 ,  6.648 , . , . , . , . , . , . ,  2.759 ,  29.146 ,  2.509 ,  32 ,  20 ,  - ,  4 ,  7 ,  - , . , . , . , . , . , . ,  28 ,  13 ,  - ,  6.871 ,  3.551 ,  2.199 ,  5.752 ,  2.600 ,  1.983 , . , . , . , . , . , . ,  1.119 ,  951 ,  216 
Estadual,  3.095 ,  32.570 ,  2.742 ,  3.095 ,  32.570 ,  2.742 , . , . , . , . , . , . , . , . , . ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . , . , . , . , . , . , . ,  1.418 ,  609 ,  184 ,  1.418 ,  609 ,  184 , . , . , . , . , . , . , . , . , . 
Municipal,  10.480 ,  16.689 ,  6.863 ,  8.483 ,  13.343 ,  5.230 ,  1.597 ,  2.946 ,  1.237 ,  400 ,  400 ,  396 , . , . , . ,  274 ,  254 ,  67 ,  274 ,  254 ,  67 ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . ,  6.507 ,  2.433 ,  861 ,  5.964 ,  2.228 ,  804 ,  543 ,  205 ,  57 ,  - ,  - ,  - , . , . , . 
Privada,  84.414 ,  141.087 ,  45.926 ,  31.465 ,  78.291 ,  23.234 ,  12.895 ,  20.783 ,  8.432 ,  40.054 ,  42.013 ,  14.260 , . , . , . ,  330 ,  146 ,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  330 ,  146 ,  2 , . , . , . ,  61.831 ,  23.899 ,  9.752 ,  36.382 ,  12.107 ,  5.495 ,  11.019 ,  5.862 ,  1.633 ,  14.430 ,  5.930 ,  2.624 , . , . , . 
Rio Grande do Sul,  191.443 ,  650.574 ,  99.074 ,  99.099 ,  452.170 ,  63.457 ,  23.453 ,  31.549 ,  6.765 ,  64.584 ,  83.581 ,  25.055 ,  4.307 ,  83.274 ,  3.797 ,  1.456 ,  1.676 ,  652 ,  984 ,  875 ,  506 ,  - ,  - ,  - ,  251 ,  251 ,  18 ,  221 ,  550 ,  128 ,  129.209 ,  51.165 ,  23.250 ,  79.779 ,  28.307 ,  16.295 ,  16.475 ,  4.489 ,  1.533 ,  31.975 ,  17.695 ,  5.135 ,  980 ,  674 ,  287 
Pública,  28.637 ,  395.277 ,  26.267 ,  24.330 ,  312.003 ,  22.470 , . , . , . , . , . , . ,  4.307 ,  83.274 ,  3.797 ,  1.103 ,  1.333 ,  574 ,  882 ,  783 ,  446 , . , . , . , . , . , . ,  221 ,  550 ,  128 ,  13.357 ,  8.717 ,  4.137 ,  12.377 ,  8.043 ,  3.850 , . , . , . , . , . , . ,  980 ,  674 ,  287 
Federal,  26.997 ,  365.466 ,  24.930 ,  22.690 ,  282.192 ,  21.133 , . , . , . , . , . , . ,  4.307 ,  83.274 ,  3.797 ,  1.103 ,  1.333 ,  574 ,  882 ,  783 ,  446 , . , . , . , . , . , . ,  221 ,  550 ,  128 ,  12.810 ,  8.322 ,  3.987 ,  11.830 ,  7.648 ,  3.700 , . , . , . , . , . , . ,  980 ,  674 ,  287 
Estadual,  1.640 ,  29.811 ,  1.337 ,  1.640 ,  29.811 ,  1.337 , . , . , . , . , . , . , . , . , . ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . , . , . , . , . , . , . ,  547 ,  395 ,  150 ,  547 ,  395 ,  150 , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  162.806 ,  255.297 ,  72.807 ,  74.769 ,  140.167 ,  40.987 ,  23.453 ,  31.549 ,  6.765 ,  64.584 ,  83.581 ,  25.055 , . , . , . ,  353 ,  343 ,  78 ,  102 ,  92 ,  60 ,  - ,  - ,  - ,  251 ,  251 ,  18 , . , . , . ,  115.852 ,  42.448 ,  19.113 ,  67.402 ,  20.264 ,  12.445 ,  16.475 ,  4.489 ,  1.533 ,  31.975 ,  17.695 ,  5.135 , . , . , . 
Centro-Oeste,  359.371 ,  1.325.433 ,  192.242 ,  119.268 ,  816.851 ,  80.360 ,  74.734 ,  167.998 ,  41.206 ,  158.536 ,  238.749 ,  64.888 ,  6.833 ,  101.835 ,  5.788 ,  5.326 ,  31.441 ,  392 ,  4.236 ,  30.804 ,  391 ,  355 ,  - ,  - ,  735 ,  637 ,  1 ,  - ,  - ,  - ,  149.099 ,  90.864 ,  21.772 ,  31.080 ,  38.922 ,  9.095 ,  19.724 ,  15.942 ,  6.153 ,  96.334 ,  34.353 ,  6.286 ,  1.961 ,  1.647 ,  238 
Pública,  56.294 ,  725.725 ,  48.219 ,  46.051 ,  619.604 ,  40.620 ,  1.200 ,  1.268 ,  633 ,  2.210 ,  3.018 ,  1.178 ,  6.833 ,  101.835 ,  5.788 ,  4.300 ,  30.868 ,  391 ,  4.236 ,  30.804 ,  391 ,  - ,  - ,  - ,  64 ,  64 ,  - ,  - ,  - ,  - ,  25.249 ,  32.277 ,  4.735 ,  20.194 ,  29.933 ,  4.245 ,  2.726 ,  249 ,  142 ,  368 ,  448 ,  110 ,  1.961 ,  1.647 ,  238 
Federal,  35.537 ,  615.595 ,  32.174 ,  28.704 ,  513.760 ,  26.386 , . , . , . , . , . , . ,  6.833 ,  101.835 ,  5.788 ,  430 ,  932 ,  391 ,  430 ,  932 ,  391 , . , . , . , . , . , . ,  - ,  - ,  - ,  16.871 ,  16.633 ,  3.640 ,  14.910 ,  14.986 ,  3.402 , . , . , . , . , . , . ,  1.961 ,  1.647 ,  238 
Estadual,  13.878 ,  103.755 ,  12.037 ,  13.618 ,  103.495 ,  11.850 , . , . , . ,  260 ,  260 ,  187 , . , . , . ,  3.710 ,  29.936 ,  - ,  3.646 ,  29.872 ,  - , . , . , . ,  64 ,  64 ,  - , . , . , . ,  5.008 ,  14.690 ,  595 ,  5.008 ,  14.690 ,  595 , . , . , . ,  - ,  - ,  - , . , . , . 
Municipal,  6.879 ,  6.375 ,  4.008 ,  3.729 ,  2.349 ,  2.384 ,  1.200 ,  1.268 ,  633 ,  1.950 ,  2.758 ,  991 , . , . , . ,  160 ,  - ,  - ,  160 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . ,  3.370 ,  954 ,  500 ,  276 ,  257 ,  248 ,  2.726 ,  249 ,  142 ,  368 ,  448 ,  110 , . , . , . 
